hltv_name,year,rating_ct,rating_t,adr,kast,firepower_ct,firepower_t,entrying_ct,entrying_t,trading_ct,trading_t,opening_ct,opening_t,sniping,utility,found,steamid,clutching
Swisher,2025,1.12,1.09,76.1,75.1,68,50,81,52,73,66,58,37,0,79,yes,76561198183003671,44
dexter,2025,1.06,0.91,76.5,67.9,80,31,74,32,59,16,77,67,2,87,yes,76561198061801241,30
Jame,2025,1.15,1.15,75.1,75.6,75,62,24,7,64,42,83,46,94,55,yes,76561198036125584,88
Snax,2024,0.94,0.92,66.6,71.1,15,20,46,49,37,35,23,42,2,72,yes,76561197982141573,52
BELCHONOKK,2025,1.07,1.13,78.3,74.3,67,70,86,74,42,55,59,62,0,36,yes,76561198253670517,43
blameF,2024,1.17,1.14,83.0,76.2,84,80,34,9,74,54,67,71,0,60,yes,76561198028458803,59
Forester,2024,1.02,1.03,76.2,71.6,54,56,57,42,55,26,61,75,0,47,yes,76561198027348753,34
JBa,2024,1.15,1.12,76.2,75.5,67,73,65,67,77,88,36,29,0,43,yes,76561198184153575,63
MartinezSa,2024,1.16,1.08,72.8,73.9,76,54,17,21,31,51,89,46,93,47,yes,76561198370086461,70
Staehr,2025,1.04,1.11,75.5,72.6,55,61,51,64,55,70,37,68,0,73,yes,76561198005107817,49
zeRRoFIX,2024,0.94,0.97,68.5,72.4,29,35,67,85,64,66,45,43,1,32,yes,76561199121088563,37
stanislaw,2025,0.89,0.8,59.9,67.3,12,2,66,67,19,25,17,31,0,69,yes,76561197981849043,38
floppy,2024,1.02,0.95,68.9,73.4,28,20,62,49,38,61,29,40,0,34,yes,76561198306519263,57
jottAAA,2025,1.05,0.99,70.8,72.3,46,35,41,77,38,68,29,47,0,27,yes,76561198410750263,42
buda,2024,0.94,0.96,66.3,71.5,16,25,59,61,36,48,14,40,0,56,yes,76561198199343350,41
kauez,2024,1.05,1.04,72.1,71.9,53,46,28,39,25,35,64,50,0,36,yes,76561198385657675,43
arT,2024,0.99,1.05,77.1,72.1,45,58,49,59,25,25,72,79,4,78,yes,76561198043769572,29
Vexite,2024,1.11,1.15,78.4,74.9,70,79,53,45,58,56,45,60,0,70,yes,76561198052888143,38
Sonic,2024,1.07,1.09,79.0,70.5,72,67,46,56,60,67,48,47,1,73,yes,76561197975129851,47
Senzu,2025,1.09,1.14,79.5,72.1,75,76,33,35,61,64,48,60,12,53,yes,76561198920720017,51
sjuush,2025,1.12,1.17,79.1,75.3,71,76,49,58,43,52,46,68,0,66,yes,76561198160709585,41
Nexius,2024,0.98,0.97,72.2,69.4,46,37,86,83,58,37,60,77,0,54,yes,76561198170578957,28
roman,2025,0.91,0.88,66.0,68.6,24,13,37,69,29,55,27,29,0,60,yes,76561197994395491,47
electroNic,2025,0.98,0.96,71.8,70.8,48,27,81,85,55,42,26,47,0,74,yes,76561198044045107,37
r3salt,2024,1.13,1.22,82.2,73.3,78,87,46,43,50,36,57,83,0,50,yes,76561198350362302,59
Snappi,2025,0.97,0.93,70.7,71.6,39,18,43,37,32,37,48,29,1,83,yes,76561197989423065,42
gxx-,2024,0.92,0.96,65.8,69.5,28,42,38,22,44,61,54,27,91,45,yes,76561198234835452,76
jL,2025,1.04,1.11,78.2,73.0,57,69,59,40,50,37,40,63,0,66,yes,76561198176878303,62
latto,2024,1.2,1.21,81.4,77.2,78,79,63,49,59,70,48,44,0,77,yes,76561198850020186,56
karrigan,2025,0.86,0.88,62.1,68.0,12,7,42,72,25,14,30,58,0,75,yes,76561197989430253,34
MUTiRiS,2025,0.97,0.98,70.1,71.6,31,27,57,26,61,24,35,51,0,90,yes,76561197997981170,45
Ex3rcice,2025,1.02,1.03,70.4,70.9,42,50,49,43,57,71,31,34,0,50,yes,76561198168198200,66
hallzerk,2025,1.06,1.05,71.4,72.1,56,49,25,25,61,81,83,41,91,69,yes,76561198060367310,85
stanislaw,2024,1.05,0.93,70.6,70.6,48,20,64,66,39,40,34,39,0,83,yes,76561197981849043,53
flameZ,2024,1.05,1.15,74.7,75.5,48,63,64,94,40,62,66,85,0,62,yes,76561197978835160,54
torzsi,2024,1.12,1.01,71.7,72.5,75,43,39,15,40,61,75,23,91,57,yes,76561198355739212,70
MATYS,2024,1.08,1.13,79.7,72.0,74,84,68,75,70,61,68,70,0,43,yes,76561199046478501,28
Senzu,2024,1.1,1.18,80.7,72.5,72,87,25,47,31,47,55,84,11,37,yes,76561198920720017,49
Graviti,2025,0.98,0.97,69.1,70.5,53,21,62,85,63,60,57,49,0,68,yes,76561198179538505,47
Boombl4,2024,1.02,0.96,70.5,72.2,42,27,75,95,34,44,64,68,12,73,yes,76561198146207066,42
siuhy,2024,0.95,0.94,68.3,70.0,33,18,73,59,56,36,35,41,0,70,yes,76561198150673360,44
insani,2024,1.14,1.23,83.5,74.0,79,89,69,58,68,47,73,85,0,58,yes,76561198061423730,35
KSCERATO,2024,1.17,1.18,80.9,74.7,74,68,21,19,46,44,44,58,1,87,yes,76561198058500492,65
EliGE,2024,1.14,1.18,85.3,72.9,81,94,43,48,67,65,76,88,3,64,yes,76561198066693739,44
MUTiRiS,2024,1.02,0.98,69.9,72.4,39,24,50,51,50,38,38,38,0,88,yes,76561197997981170,54
apEX,2025,0.99,0.88,69.1,70.6,45,7,49,54,53,34,43,30,0,96,yes,76561197989744167,42
Djoko,2025,0.99,1.08,74.2,71.7,42,61,58,70,50,53,57,54,0,64,yes,76561198047876970,46
frozen,2024,1.12,1.17,81.0,74.5,70,77,61,49,47,76,61,38,0,64,yes,76561198068422762,58
NEKIZ,2024,0.93,0.92,68.4,69.9,32,18,71,65,38,21,58,67,0,70,yes,76561198036884160,23
XANTARES,2024,1.17,1.17,85.8,74.9,84,81,37,67,57,49,83,91,1,58,yes,76561198044118796,31
spooke,2025,1.09,1.08,79.2,73.6,71,61,79,47,51,57,67,68,0,56,yes,76561198079183361,36
noway,2025,1.02,1.1,74.1,74.0,44,64,54,82,52,77,30,48,0,47,yes,76561198800209567,35
HeavyGoD,2024,1.22,1.16,81.5,74.5,82,77,27,55,67,72,59,53,1,44,yes,76561198068002993,77
Summer,2024,1.04,0.96,72.1,70.9,44,37,31,60,50,62,27,29,0,88,yes,76561198013230247,66
Twistzz,2024,1.2,1.13,79.7,76.1,85,66,62,65,67,50,33,52,1,75,yes,76561198016255205,50
cej0t,2025,0.97,1.08,77.6,71.6,47,69,59,62,45,35,69,81,0,44,yes,76561198080449500,36
br0,2024,0.99,1.0,68.6,71.9,23,30,39,66,34,60,32,33,0,59,yes,76561198060483793,38
JDC,2025,1.13,1.1,81.2,71.4,87,65,52,65,56,47,68,72,0,39,yes,76561198078771373,36
xelex,2025,1.03,1.21,79.3,72.4,70,84,61,48,64,59,60,59,0,56,yes,76561198998266210,56
b1t,2024,1.1,1.21,78.4,74.6,68,82,41,54,30,46,64,65,0,52,yes,76561198246607476,42
Perfecto,2024,1.12,1.09,68.3,77.4,31,48,70,49,79,83,20,25,4,65,yes,76561198121220486,84
tabseN,2024,1.02,0.95,74.1,71.9,43,29,71,40,42,49,46,23,1,94,yes,76561197961491680,41
karrigan,2024,0.9,0.84,64.1,67.7,26,9,36,88,22,14,43,59,1,73,yes,76561197989430253,34
arrozdoce,2024,1.05,1.22,75.6,71.8,38,83,35,31,29,45,45,64,0,51,yes,76561197973757802,67
flameZ,2025,1.13,1.1,75.1,74.9,75,45,68,98,33,45,84,76,0,70,yes,76561197978835160,38
headtr1ck,2025,1.11,1.0,72.7,74.8,71,35,43,50,60,80,57,24,84,66,yes,76561198359519930,69
lux,2025,0.99,0.96,74.5,70.5,51,38,56,61,31,27,76,64,0,85,yes,76561198074017668,32
jambo,2025,1.1,1.13,77.0,72.6,81,67,21,34,31,38,89,62,91,55,yes,76561198800253526,57
FL4MUS,2025,0.93,1.11,72.1,71.5,34,67,48,72,50,47,40,74,2,46,yes,76561198014259134,28
NiKo,2024,1.22,1.17,82.3,73.7,88,71,42,42,60,45,78,73,1,73,yes,76561198041683378,52
Maka,2025,1.04,1.07,71.8,72.4,49,44,30,41,23,70,78,47,83,85,yes,76561198045739761,63
Spinx,2024,1.1,1.15,78.2,75.5,71,76,75,21,54,71,70,34,0,22,yes,76561198063336407,65
s-chilla,2024,1.0,1.02,70.5,72.8,29,39,66,85,47,46,27,57,0,32,yes,76561198964042711,43
Brollan,2024,1.04,1.14,76.7,72.7,56,63,66,48,42,44,62,74,0,59,yes,76561198138828475,46
KRiMZ,2024,1.06,0.98,69.2,72.9,36,25,48,33,68,48,25,23,0,72,yes,76561198031651584,51
HEN1,2024,1.15,1.07,72.5,75.1,57,36,18,11,44,44,63,33,90,75,yes,76561198018027263,83
EmiliaQAQ,2025,1.02,1.03,71.3,71.0,42,49,60,65,61,54,34,59,0,40,yes,76561198816731401,58
Krad,2024,1.04,1.02,74.5,69.9,54,40,55,51,44,44,57,49,0,81,yes,76561198031908632,50
ztr,2024,0.96,0.97,68.4,69.8,23,36,63,60,65,68,20,28,0,80,yes,76561199009468655,68
HObbit,2024,1.09,1.17,80.9,74.6,67,78,36,60,38,53,55,85,3,68,yes,76561198028292758,53
bLitz,2025,1.01,1.0,75.7,69.8,60,40,41,29,46,34,67,35,1,96,yes,76561198959824088,48
degster,2025,1.06,0.99,67.9,73.2,61,32,17,25,25,54,76,36,92,40,yes,76561198799340122,54
fame,2025,1.04,1.04,72.6,71.9,54,45,59,82,64,79,53,51,0,50,yes,76561198080114546,48
story,2024,1.03,1.07,70.7,72.7,51,44,27,28,49,54,77,47,91,70,yes,76561198065448360,72
biguzera,2025,0.96,0.99,70.9,69.9,37,25,62,50,29,23,66,59,2,90,yes,76561198015308884,46
MAJ3R,2024,0.97,0.92,65.3,71.3,20,15,35,41,30,16,30,36,3,89,yes,76561197967432889,49
bodyy,2024,0.95,0.99,71.8,71.4,24,40,77,86,18,33,59,74,0,83,yes,76561198013295375,32
esenthial,2025,1.01,1.0,68.2,73.0,34,39,53,67,67,83,35,25,1,32,yes,76561199149812353,58
ICY,2024,1.14,1.11,70.1,75.1,72,49,30,24,49,91,70,37,92,35,yes,76561198055109028,92
s1mple,2025,1.14,1.22,79.8,74.5,82,83,32,18,33,73,86,41,91,59,yes,76561198034202275,72
woxic,2024,1.1,1.03,71.1,73.0,68,39,41,38,28,56,70,36,93,53,yes,76561198083485506,69
nicoodoz,2025,1.09,1.1,76.8,73.5,77,75,41,19,71,51,82,50,68,64,yes,76561198073117127,54
kraghen,2024,1.02,1.04,76.0,72.9,57,52,64,62,53,47,68,60,0,71,yes,76561198047198945,44
susp,2024,1.01,1.08,74.7,73.1,43,62,35,62,48,52,55,81,0,40,yes,76561198342718168,56
ZywOo,2024,1.35,1.37,88.9,77.7,98,98,29,27,60,69,81,79,79,60,yes,76561198113666193,81
westmelon,2025,1.09,1.05,75.2,71.3,70,48,61,85,52,57,64,66,0,72,yes,76561198107240040,41
HUASOPEEK,2024,1.04,1.05,72.3,72.6,41,58,49,73,46,51,21,53,0,29,yes,76561198319723208,45
saadzin,2025,1.09,1.04,68.9,75.6,57,28,30,35,42,41,68,33,91,68,yes,76561198100494962,73
xiELO,2025,1.1,1.13,81.6,73.5,83,78,66,71,69,52,58,74,1,35,yes,76561198141272052,36
kl1m,2025,1.19,1.33,85.2,76.5,91,98,44,16,64,76,84,59,78,39,yes,76561198125068631,67
Krimbo,2024,1.11,1.08,74.3,73.9,55,49,27,12,47,40,32,42,1,81,yes,76561198170631091,88
--majky,2024,0.99,1.01,75.7,69.0,60,56,33,59,29,48,44,57,0,22,yes,76561198833618656,40
acoR,2025,1.04,1.0,68.8,71.2,62,33,27,36,46,61,76,36,92,63,yes,76561198002942763,63
brnz4n,2025,0.96,1.02,69.5,70.6,27,43,54,66,36,57,37,39,0,26,yes,76561198855876580,79
xertioN,2025,1.09,1.1,82.1,72.8,77,67,68,77,57,21,83,82,0,68,yes,76561198193174134,32
jkaem,2024,1.04,1.05,84.1,71.1,81,72,36,47,25,26,82,88,0,39,yes,76561198002708642,22
Tauson,2024,0.95,1.03,73.5,73.2,37,49,62,73,82,51,60,77,0,44,yes,76561198316706174,49
CacaNito,2024,1.0,1.02,76.4,70.0,55,59,41,25,45,43,47,57,0,45,yes,76561198263656468,42
kyxsan,2025,0.98,0.93,65.7,72.5,21,9,79,77,27,40,31,28,0,68,yes,76561198057282432,43
JDC,2024,1.14,1.02,78.1,71.9,81,57,30,62,67,50,69,59,1,48,yes,76561198078771373,39
dexter,2024,1.11,1.09,79.6,71.3,73,75,52,27,33,19,81,80,1,87,yes,76561198061801241,30
Liazz,2024,1.11,1.1,73.4,75.6,41,56,36,64,61,68,30,28,0,68,yes,76561198072321716,64
Buzz,2025,1.04,1.03,72.9,74.4,49,45,51,66,65,62,38,26,0,36,yes,76561198248953762,41
stavn,2025,1.07,1.07,79.2,73.7,74,54,64,45,65,72,64,39,1,79,yes,76561198022365638,51
blameF,2025,1.21,1.22,87.9,76.6,93,88,30,25,73,58,62,74,0,51,yes,76561198028458803,61
Ax1Le,2024,1.06,1.08,78.8,74.0,63,64,54,63,39,57,83,67,0,72,yes,76561198045433304,38
Lake,2025,1.21,1.14,84.6,74.6,93,75,88,89,59,34,84,87,0,55,yes,76561198337484196,31
AW,2025,1.0,1.07,72.6,73.4,39,57,49,59,70,69,27,42,0,63,yes,76561198269361539,52
snow,2025,1.02,0.93,69.2,70.8,45,19,44,52,43,41,41,34,1,54,yes,76561198377335846,51
b4rtin,2024,1.11,0.98,69.1,73.9,45,33,72,84,63,67,31,36,0,43,yes,76561198130084582,55
salazar,2024,1.01,0.97,63.8,72.4,38,18,43,28,53,64,56,21,89,68,yes,76561198102263776,78
deb0,2024,1.05,1.29,81.2,72.0,57,92,50,69,38,62,39,79,1,70,yes,76561198811869293,78
Vexite,2025,1.1,0.96,73.5,71.0,72,26,75,75,50,55,66,65,0,73,yes,76561198052888143,49
b1t,2025,1.07,1.18,77.2,74.1,66,74,53,38,44,61,61,48,0,47,yes,76561198246607476,52
VINI,2025,1.09,1.03,74.2,73.3,54,37,51,52,30,24,49,49,0,84,yes,76561197996370184,59
n1ssim,2024,1.0,1.05,71.7,70.7,31,50,25,13,20,57,34,43,0,32,yes,76561198061763596,64
kyuubii,2025,1.0,1.01,70.9,71.6,44,38,73,57,46,68,41,37,0,46,yes,76561198144926364,42
NickelBack,2024,0.97,0.81,68.2,70.1,38,7,90,78,34,33,28,31,1,83,yes,76561197962148507,40
m0NESY,2025,1.18,1.32,81.5,76.0,90,91,50,27,51,65,88,68,92,60,yes,76561198074762801,76
MoriiSko,2024,0.98,1.07,75.7,69.4,55,56,37,32,29,42,67,66,1,52,yes,76561198051727799,39
deko-_-,2024,1.18,1.11,78.1,74.9,86,66,38,21,65,55,62,25,72,61,yes,76561198287546191,68
z4KR,2025,1.16,1.09,74.5,73.0,80,55,46,21,44,56,76,38,93,62,yes,76561198137783463,80
try,2024,1.14,1.07,72.7,74.9,77,43,54,27,60,46,71,47,93,61,yes,76561198365118288,72
interz,2024,0.95,0.91,62.4,73.5,17,11,64,40,72,61,16,14,0,52,yes,76561198208074320,62
huNter-,2025,1.0,1.03,72.1,73.6,51,41,44,55,54,64,25,23,0,90,yes,76561198012872053,53
arT,2025,1.02,0.98,74.3,70.8,58,28,59,57,28,30,74,64,6,72,yes,76561198043769572,40
soulfly,2025,1.10,1.08,80.1,72.2,76,64,67,82,27,22,79,87,0,62,yes,76561198327068178,19
s1zzi,2025,0.99,1.13,74.9,69.0,80,51,21,9,60,87,95,76,93,58,yes,76561199001538362,63
piriajr,2025,1.24,1.40,92.5,75.4,98,100,43,7,38,61,91,77,8,23,yes,76561198396338183,61
Bymas,2025,1.10,1.09,75.3,75.9,57,56,62,50,71,74,33,38,0,28,yes,76561198093386355,57
hypex,2025,1.06,1.04,68.1,72.9,59,36,31,24,62,75,54,27,88,53,yes,76561198254686734,88
cobrazera,2025,1.11,1.16,77.3,71.9,66,79,34,55,29,33,35,68,2,52,yes,76561199430871803,62
luchov,2025,1.15,1.06,80.7,71.3,92,59,69,90,63,60,84,74,0,74,yes,76561198067722198,33
HUASOPEEK,2025,1.14,1.14,75.4,74.7,63,66,70,74,67,80,38,48,0,43,yes,76561198319723208,42
Gizmy,2025,0.96,0.94,68.8,70.5,37,20,81,59,33,28,57,47,1,88,yes,76561198344226986,38
meyern,2025,1.07,1.07,72.5,70.9,63,47,44,43,60,74,64,33,79,50,yes,76561198195642865,84
v$m,2025,1.30,1.29,87.9,73.1,98,91,43,26,59,56,82,84,0,67,yes,76561198011732823,37
afro,2025,1.14,1.07,74.4,71.9,84,45,28,12,40,35,89,47,94,76,yes,76561198035581101,76
zweih,2025,1.00,0.92,68.5,70.3,32,17,65,55,18,16,40,59,1,37,yes,76561198210626739,33
max,2025,0.99,1.02,72.4,74.1,35,38,85,83,45,39,59,55,0,77,yes,76561198242950384,42
Rainwaker,2025,1.13,1.11,78.4,73.6,80,54,40,41,37,44,67,37,0,41,yes,76561198138113790,64
ryu,2025,1.20,1.14,78.8,74.9,80,72,42,33,74,52,38,52,0,34,yes,76561198168401372,59
