model,n_paths,inc_mean,inc_sd,qv_ratio,term_over_implied,D_upper,D_upper_p,D_lower,writeoff_le_5,bench_le_5,writeoff_le_10,bench_le_10,writeoff_le_20,bench_le_20
M0 round-start,220,-0.0006590825563270358,0.09687521571408973,0.8561485720290707,1.0,0.031793868711954,0.6487025948103793,0.26695477708392107,0.05454545454545454,0.05263157894736847,0.10454545454545454,0.11111111111111109,0.2590909090909091,0.25
M2 round-start,220,-0.0003137341551824348,0.10946847821914142,1.0751688141490143,1.0073965239811804,0.008572392931168293,0.9500998003992016,0.2227272727272725,0.031818181818181815,0.053021106770948144,0.08181818181818182,0.11193344762755705,0.21363636363636362,0.2518502571620034
M3 round-start,220,0.0014462371709990287,0.11054954973177852,1.1715431711791913,1.0161471193677263,0.0,1.0,0.20805689621923673,0.004545454545454545,0.05348345445228671,0.10909090909090909,0.11290951495482734,0.19090909090909092,0.25404640864836153
