model,set,ncols,AUC,logloss,brier,ECE,BSS,cAUC,AUC_equal_alive,AUC_post_plant,AUC_lo,AUC_hi,dAUC_vs_EB2,dAUC_vs_EB2_lo,dAUC_vs_EB2_hi,dLL_vs_EB2,dLL_vs_EB2_lo,dLL_vs_EB2_hi,dAUC_vs_A,dAUC_vs_A_lo,dAUC_vs_A_hi,dLL_vs_A,dLL_vs_A_lo,dLL_vs_A_hi,share_of_EB2
logreg,A,17,0.8465352794550847,0.46752374658783363,0.1579145975226772,0.01923907865128814,0.36073120200802045,0.5866507041947253,0.7104418817422395,0.9501829748777345,0.8398504189074811,0.8527499626629184,-0.004276128021808151,-0.005947845187750983,-0.002691885449402502,0.010014005055705441,0.008152947197942633,0.01209943179325348,,,,,,,0.9878693862456731
logreg,EB2,72,0.8507905845448528,0.45754449644324385,0.15556981352956237,0.015287589911197092,0.37022334059650086,0.5963355359982574,0.7147401912241448,0.9629758296539286,0.844003302755995,0.857041880901181,,,,,,,0.004276128021808151,0.0026918854494025007,0.0059478451877509825,-0.010014005055705441,-0.01209943179325348,-0.008152947197942633,1.0
logreg,Clock,1,0.5547848081214748,0.6814193669841676,0.2442735795804721,0.016471751781026688,0.011133359110883756,0.5476964601157315,0.5345950137304594,0.48889489904290284,0.5490191078717466,0.5600759815171502,-0.29581766707121515,-0.30500830786188055,-0.2878994608036888,0.22366264989751614,0.2144462975105544,0.23301449772150215,-0.29154153904940705,-0.30074143716264395,-0.28403928985384364,0.21364864484181068,0.20449579432167353,0.2232731935553388,0.15617525251584938
logreg,Score,4,0.5364198178358905,0.6855299936839505,0.24619912876916783,0.005530716338836633,0.003338364001864935,0.4606884786661079,0.5360440780171565,0.5371016765015781,0.5199546161743095,0.5532365978254483,-0.3140785591679245,-0.3311697550259881,-0.29575523417818095,0.22768960669295352,0.21872628611858333,0.23692932038272713,-0.30980243114611633,-0.3266761531046912,-0.2917005293687387,0.21767560163724806,0.2083795682576015,0.22705355911604386,0.10382210766330825
logreg,Money,7,0.8302466828784025,0.49824222606176705,0.16635149726489132,0.018098932704135033,0.32657700194295336,0.5360256428882548,0.6929720234048227,0.9334413328752871,0.8221239185082061,0.8378420756672468,-0.020606495551364474,-0.024743752315181174,-0.01625695751806318,0.04073999904318556,0.03494106289038767,0.04653667144476627,-0.016330367529556324,-0.020053811524398155,-0.012841805506367017,0.030725993987480115,0.025210974029131056,0.03612169608694903,0.9414354245194301
logreg,Combat,6,0.7965125627799899,0.5129269075226427,0.1765878715275343,0.019434029972985854,0.28513818138213665,0.5776046341804333,0.5714263095662934,0.9475281689326231,0.7895378826020838,0.8042916008229694,-0.05413835953667647,-0.059653395071571906,-0.04879596951877696,0.05527093879117092,0.04980596798535133,0.06124380814165165,-0.049862231514868315,-0.05537240706922442,-0.04441554672504845,0.04525693373546548,0.039932710765601696,0.05082107563418136,0.845269445201079
logreg,Spatial,9,0.7231180922355462,0.593054068406793,0.2055637316024499,0.024733072218580284,0.16783830200768524,0.538024935317816,0.5846313032271749,0.8446620991776308,0.7172214894582407,0.7291804429845921,-0.12762537454027917,-0.13375171214273313,-0.12135575413991966,0.135396609134029,0.12815500189549783,0.14306934887518646,-0.12334924651847104,-0.12969222710027994,-0.11676388343459053,0.1253826040783236,0.11731933213305436,0.13328755635086817,0.6360435600774168
logreg,SpatialT-,30,0.8008626856304467,0.5225832598958787,0.17924188396851104,0.01674546628030078,0.2743942262974567,0.5425855390843527,0.6744544859201248,0.9277899008657827,0.7933027954266464,0.8078848623857474,-0.04995767601816834,-0.055204871646917696,-0.04466929297492562,0.0650493262638854,0.05907837957973986,0.0710582400723294,-0.04568154799636019,-0.05156172404442726,-0.04072984342236412,0.055035321208179964,0.04888695642148608,0.061274883858278555,0.857670356291954
logreg,SpatialT,43,0.8177387181790015,0.5038501855493746,0.1720716984253596,0.018156554481086103,0.3034205225706157,0.557061239502172,0.6768551942178846,0.9405086656641279,0.8108351963739321,0.8240472667730913,-0.03312781395974273,-0.03722370193309239,-0.028739196825465965,0.04638028565464499,0.040972830548278674,0.051142194844912114,-0.02885168593793458,-0.03345527009710263,-0.02440678329211021,0.03636628059893954,0.030713605753020456,0.041889944720263424,0.9057789238877783
logreg,Bomb,18,0.6855049841252766,0.5906164406820984,0.21019057063923305,0.006275923817357641,0.1491079637365701,0.5403634964491388,0.5393676037442263,0.9353582752109673,0.6796661770751483,0.6913483765243131,-0.16492479595726983,-0.17181321697114746,-0.15795208236526995,0.13287555091136938,0.125084646484384,0.14068080547374331,-0.16064866793546168,-0.16817013878765047,-0.15327331221963367,0.12286154585566392,0.11463982274710634,0.1307784260181128,0.5288197354725681
logreg,NoEcon-,41,0.8063666288760071,0.5141882085166117,0.17652081958080004,0.013704168673468931,0.2854096206161547,0.549577538477199,0.676902609915741,0.9395580470685361,0.7992751053258051,0.8133587282017433,-0.04445571560897547,-0.0493938462759957,-0.03970878805711832,0.05665854405606116,0.05106368134088142,0.06248392776589147,-0.04017958758716731,-0.045537969998892765,-0.03531500885478075,0.046644539000355714,0.04080965519379635,0.052957829015342316,0.8733604673954252
logreg,NoEcon,55,0.8217284838023182,0.49663737774206906,0.1699516597232611,0.01708267251036914,0.3120028488029475,0.5669679669003459,0.6793213655099364,0.9514410355967687,0.81521805188314,0.8280243153208333,-0.02912024572812791,-0.03341733835001361,-0.025034119607961442,0.039153033052356054,0.03416732341996363,0.043936445120292746,-0.024844117706319762,-0.0294264354852083,-0.02030156504763862,0.029139027996650604,0.023618200996902226,0.034766266206051895,0.9171525633156821
logreg,NoMoney,65,0.8408953618639393,0.47197617839340733,0.16071690179111095,0.015563541937387846,0.34938693295757894,0.5791230660746302,0.6948173430677413,0.9608093603253959,0.8342159225364105,0.8478517468728709,-0.009904865419427871,-0.012502435651467025,-0.007179408364035466,0.014433412456179488,0.010855861076954456,0.017809675184762706,-0.00562873739761972,-0.008796315243697794,-0.002525312799568938,0.0044194074004740465,0.00035403269202942124,0.008563334690381952,0.9717916525788386
xgb,A,17,0.8447169210162775,0.46786794679897603,0.15852523785338665,0.01876815888188234,0.35825921198086674,0.5805539513794703,0.70502692584745,0.9553461850965199,0.8374821711129766,0.8516190252989483,-0.00471620173977244,-0.006065117956829497,-0.00351018204051278,0.009819700113302427,0.00806139363178399,0.011528047040904712,,,,,,,0.9864441346398295
xgb,EB2,72,0.8494540733846428,0.4580565389314583,0.1558211629894337,0.013601244585613301,0.3692058294252185,0.5896661558229348,0.7116957829788155,0.9670115136245016,0.8426040836643751,0.8558957380417412,,,,,,,0.00471620173977244,0.00351018204051278,0.006065117956829496,-0.009819700113302427,-0.011528047040904713,-0.008061393631783991,1.0
xgb,Clock,1,0.5504461282000411,0.6776035898692536,0.24270676031424213,0.001107651176784229,0.017476146191411135,0.5384071867990705,0.52590164323173,0.48877273082756256,0.5437952972476996,0.5579955527956155,-0.2985921002990898,-0.3091234671357545,-0.28996567420397645,0.21927725347947824,0.2102114137472152,0.22954033697414666,-0.29387589855931734,-0.30347487052172045,-0.2852565879716978,0.20945755336617583,0.20028507789678432,0.2196469384939303,0.14435696144973895
xgb,Score,4,0.5364859842085352,0.6981708006004053,0.25036647107616455,0.04946909777907734,-0.013531842737777078,0.4809408438732984,0.5445241598224683,0.5333161209513801,0.5185447140705152,0.5535430380652914,-0.31281266323887535,-0.3314003618271214,-0.29501657480235605,0.24002751890641763,0.22867066069442074,0.252389150831246,-0.3080964614991029,-0.32675173551640907,-0.29096735867803103,0.2302078187931152,0.2190979246180712,0.2425259162439565,0.10440852457420127
xgb,Money,7,0.8339111844663953,0.48918171313845105,0.16407379232682678,0.008858409549674132,0.3357975915577154,0.5509093167983194,0.694104442852385,0.9422568759484118,0.8263146009848037,0.8411633322721929,-0.015498373830311366,-0.018923301555523107,-0.01213334833027276,0.03106934992664861,0.026848042214557267,0.03572471189603929,-0.010782172090538927,-0.014082048676290839,-0.007651479613715362,0.02124964981334618,0.0168680626679441,0.025869875494543306,0.9555223701709739
