state,n_snap,n_rounds,n_matches,cAUC,lo,hi,ct_winrate
1v1,3515,413,182,0.6931298963853003,0.634858703912313,0.7494631182385314,0.402275960170697
2v2,3905,432,192,0.733989240391565,0.6691563286458883,0.791028982796937,0.28886043533930855
3v3,3633,477,195,0.7057871962113997,0.6506928598962841,0.7670235161200895,0.30167905312413984
4v4,5977,577,203,0.6368690737139908,0.5565905573981952,0.7114928942134711,0.4242931236406224
5v5,41338,1209,220,0.5249333213874535,0.48955408001159123,0.557987163505283,0.4831873820697663
