category,n_snap,n_rounds,n_matches,n_query,disagree_rate,mean_local_p,oracle_AUC,oracle_lo,oracle_hi,ct_winrate
1v1 even,3515,413,182,2500,0.430544,0.395088,0.6075465023984539,0.5505460335443579,0.6659320465934249,0.402275960170697
2v2 even,3905,432,192,2500,0.401264,0.346576,0.5917259382566585,0.531569625614042,0.6475140085933964,0.28886043533930855
3v3 even,3633,477,195,2500,0.363536,0.312848,0.6752776961324614,0.6109983301061692,0.7427583014119647,0.30167905312413984
4v4 even,5977,577,203,2500,0.47566400000000003,0.35795200000000005,0.5136659322725418,0.45085796062328126,0.5772316377040622,0.4242931236406224
5v5 even,41338,1209,220,2500,0.494816,0.475792,0.5110522104100476,0.480301808966815,0.5452661683504818,0.4831873820697663
all even (contested),58368,1815,220,2500,0.4756639999999999,0.4384960000000001,0.5482232011747429,0.5177428071985963,0.5777043453510746,0.4479851973684211
CONTROL 1-man-adv,129717,4742,220,2500,0.314112,0.40424,0.8281419327388682,0.8106582338873607,0.8457312335313237,0.39122088854968895
