model,set,t_lo,t_hi,n,AUC
xgb,Score,10,20,48638,0.5404784579556748
xgb,Score,20,40,96095,0.5392217759731232
xgb,Score,40,60,91051,0.5370246125635288
xgb,Score,60,90,113268,0.5316533540074635
xgb,Score,90,999,78894,0.532322870088467
xgb,Money,0,5,24325,0.6879658044998969
xgb,Money,5,10,24324,0.6880162911766905
xgb,Money,10,20,48638,0.7050462232306849
xgb,Money,20,40,96095,0.7687416365153108
xgb,Money,40,60,91051,0.8287302319518031
xgb,Money,60,90,113268,0.8775735271890925
xgb,Money,90,999,78894,0.93764606201318
xgb,Combat,0,5,24325,0.4796459436286525
xgb,Combat,5,10,24324,0.4813087489726514
xgb,Combat,10,20,48638,0.5575210760807053
xgb,Combat,20,40,96095,0.689474242530188
xgb,Combat,40,60,91051,0.7978755274490354
xgb,Combat,60,90,113268,0.8796317908348539
xgb,Combat,90,999,78894,0.9555562228635979
xgb,Spatial,0,5,24325,0.5328353051326465
xgb,Spatial,5,10,24324,0.5628972655487982
xgb,Spatial,10,20,48638,0.5953336262039639
xgb,Spatial,20,40,96095,0.6523662066315097
xgb,Spatial,40,60,91051,0.7413142421277104
xgb,Spatial,60,90,113268,0.8011134828582542
xgb,Spatial,90,999,78894,0.8919976759546246
xgb,SpatialT-,0,5,24325,0.6811076814687709
xgb,SpatialT-,5,10,24324,0.6785333983295398
xgb,SpatialT-,10,20,48638,0.6890070537592731
xgb,SpatialT-,20,40,96095,0.748307362893316
xgb,SpatialT-,40,60,91051,0.8118672822779311
xgb,SpatialT-,60,90,113268,0.8630625662753661
xgb,SpatialT-,90,999,78894,0.94136211284252
xgb,SpatialT,0,5,24325,0.6811414812880913
xgb,SpatialT,5,10,24324,0.6776458286984186
xgb,SpatialT,10,20,48638,0.6905282585683716
xgb,SpatialT,20,40,96095,0.7510203576533492
xgb,SpatialT,40,60,91051,0.8183491182242645
xgb,SpatialT,60,90,113268,0.8737609276529721
xgb,SpatialT,90,999,78894,0.9498340450885387
xgb,Bomb,0,5,24325,0.4749247518542616
xgb,Bomb,5,10,24324,0.5050792093063328
xgb,Bomb,10,20,48638,0.5369485986832361
xgb,Bomb,20,40,96095,0.5653903317272486
xgb,Bomb,40,60,91051,0.6447048902907586
xgb,Bomb,60,90,113268,0.7569038821390333
xgb,Bomb,90,999,78894,0.9140630485993309
xgb,NoEcon-,0,5,24325,0.6824092535564426
xgb,NoEcon-,5,10,24324,0.6786071262447801
xgb,NoEcon-,10,20,48638,0.688698044703185
xgb,NoEcon-,20,40,96095,0.7469733537359766
xgb,NoEcon-,40,60,91051,0.8110860327463938
xgb,NoEcon-,60,90,113268,0.8662613381092993
xgb,NoEcon-,90,999,78894,0.9493229602786681
xgb,NoEcon,0,5,24325,0.6827198986886185
xgb,NoEcon,5,10,24324,0.6782179202470028
xgb,NoEcon,10,20,48638,0.6896833600472667
xgb,NoEcon,20,40,96095,0.7503236518346388
xgb,NoEcon,40,60,91051,0.8181046303113627
xgb,NoEcon,60,90,113268,0.876632275685772
xgb,NoEcon,90,999,78894,0.9572128682148713
xgb,NoMoney,0,5,24325,0.6789622740439968
xgb,NoMoney,5,10,24324,0.6758484012533205
xgb,NoMoney,10,20,48638,0.6928700425873895
xgb,NoMoney,20,40,96095,0.767607190576624
xgb,NoMoney,40,60,91051,0.8350973335113475
xgb,NoMoney,60,90,113268,0.8936878601257809
xgb,NoMoney,90,999,78894,0.9642449120762343
