repr,family,cAUC,lo,hi
A,classical,0.5800925569838005,0.5521535093282522,0.6075537513717982
E,classical,0.5853949749774644,0.5571523311767091,0.6130949056835432
EB2,classical,0.5861489448592632,0.5586791137863582,0.6132278857977291
EFB2,classical,0.5889194697195651,0.5624333253269842,0.6187343156958839
TCN,deep,0.5721594326455899,0.5489493229879485,0.5970904234192237
Transformer,deep,0.5677814634064586,0.5465499828544951,0.5913611051062126
