equip_thr,n_snap,cAUC,lo,hi
10000,182856,0.6124139685844517,0.5941007215139713,0.6284028190564336
5000,129882,0.5970909218047528,0.5783532384686948,0.6177080668591316
3000,94049,0.5902484688199043,0.569136389885028,0.6119699770903123
1500,58368,0.5861489448592632,0.5586791137863582,0.6132278857977291
750,35944,0.5753071277772193,0.5428518246519789,0.6100975672104024
250,15644,0.5583319999997359,0.5087501466341534,0.6059140205939363
