n_maps,M0,M1,M2,M2c,M3
55,0.6048161135598669,0.6023838036247111,0.6014910954191447,0.6067907847853741,0.641498614257487
110,0.5691681369182134,0.5626600783159229,0.5641269653733515,0.5629256730881292,0.5761791780971445
165,0.5618686694167633,0.5569945150654909,0.5575930372071997,0.5621408757504988,0.5746819507419393
220,0.5672929545380176,0.5623521022492001,0.5633134280620111,0.5644687171810828,0.5749684471736272
