phase,n,M0,M1,M2,M2c,M3
round 1,210,0.6931471805599453,0.6964251659475335,0.6961326901639666,0.6987848060000749,0.700197371695074
half 1,2420,0.6075612932475765,0.6014573039895497,0.6030678567091124,0.6041599839905936,0.6129624402184911
round 13,219,0.4899117929427417,0.48422720976237604,0.48443365846455666,0.48913503807395803,0.508587454579964
half 2,1727,0.4967283700694511,0.4876337929177458,0.48825500159088847,0.48851568113231747,0.5000907069455068
overtime,290,0.6207281981919833,0.640931608296103,0.6400778178545826,0.6439943459827947,0.6654105517745109
