model,AUC,logloss,brier,ll_lo,ll_hi
A0 side-blind p=0.5,0.7758401116403855,0.5651802500037247,0.1933755003904932,0.5145780001134633,0.6190948594104402
A0 constant side rate,0.7755017946428497,0.5654089500086151,0.19352669784982382,0.5135733947118902,0.6177660719158081
A1-lite current-round t=0 econ,0.7779402957084848,0.5654571365261866,0.19326428484390065,0.5133887482841855,0.6186961855347419
