model,logloss,brier,AUC,cal_slope,cal_intercept,ll_lo,ll_hi,dLL_vs_M1,dLL_vs_M1_lo,dLL_vs_M1_hi,dLL_vs_M2,dLL_vs_M2_lo,dLL_vs_M2_hi,dLL_vs_M0,dLL_vs_M0_lo,dLL_vs_M0_hi
M0,0.5674087531477191,0.19364485987431793,0.7763383732768927,0.7338385959640867,-0.033726624555469806,0.5134513595997817,0.622148801805864,0.005023291104786293,-0.005782354030716299,0.01824549307216676,0.004133192065663661,-0.004682133724894786,0.015271225927149572,,,
M1,0.5622349868919996,0.19293760163335927,0.7734771385963355,0.8791246264303397,-0.04401760839224611,0.520464655884173,0.6046071953354241,,,,-0.0008900990391226322,-0.003541371507900137,0.001308144986543107,-0.005023291104786293,-0.018245493072166764,0.005782354030716299
M2,0.5632022203657041,0.19326540895887317,0.7738585351634284,0.8365720704592139,-0.044887192899544084,0.5188052446597362,0.6079252183337962,0.0008900990391226322,-0.0013081449865431083,0.0035413715079001314,,,,-0.004133192065663661,-0.015271225927149575,0.004682133724894778
M2c,0.5643973459732782,0.19379352214620596,0.7698755856346823,0.9566258389927613,-0.0026537161598483763,0.5254478281326164,0.6051098901513553,0.0022048375149114337,-0.002212773294652473,0.007238959968111621,0.0013147384757888013,-0.005195012335062499,0.007957710460177202,-0.0028184535898748597,-0.0188592624373655,0.011706727161820765
M3,0.5750959549624383,0.19770453164614674,0.7597476226083504,0.8985453705047451,-0.002780305631524152,0.5361274708751375,0.6144305156478386,0.01297856161050662,0.005144127547106478,0.021014367334999704,0.012088462571383986,0.002419653789292745,0.02091791209510157,0.007955270505720327,-0.008658387096205025,0.023231179575701064
