feature,pillar,logreg_mean_abs_shap,xgb_mean_abs_shap,lgbm_mean_abs_shap,catboost_mean_abs_shap
ct_equipment_value,economy,0.6423154989257966,0.40423035621643066,0.39486608534488066,0.6000826693502139
firepower_rating_diff,firepower,0.6274709885599502,0.6509538292884827,0.6952632013678925,0.508717541418683
t_equipment_value,economy,0.5929605484783561,0.3765358626842499,0.37811567892667497,0.4972857555407737
defuse_margin_kit,tactical,0.5086330077058279,0.1020418107509613,0.19063867941887958,0.30279724428377136
ct_armor_total,economy,0.16347530792374199,0.22432617843151093,0.24442512345148334,0.23506826975197814
t_armor_total,economy,0.11172489963807347,0.16725026071071625,0.18014008073272003,0.20124222175257533
defuse_contest_margin,tactical,0.2883086840108053,0.15102356672286987,0.15309346136757646,0.18662204578099345
t_health_total,economy,0.508208682113634,0.1628843992948532,0.17712883599553533,0.17559471785975567
defuse_time_margin,tactical,0.2035478553963629,0.05581820756196976,0.08561425718184072,0.1730494557340596
min_ct_dist_to_bomb,tactical,0.7595621181481074,0.13304351270198822,0.18836407838023023,0.12185364131241636
ct_a_site_control,voronoi,0.035663431749050796,0.09569139033555984,0.1309634740446961,0.09740505074979793
ct_health_total,economy,0.5905432094093903,0.10974838584661484,0.10843200340050707,0.07493125274353936
ct_firepower_kast,firepower,0.041651989135093305,0.05969591811299324,0.05821643095860248,0.05031033169532786
t_he,tactical,0.04608007864746013,0.048168282955884933,0.049045486762165566,0.04794730774403882
ct_b_site_control,voronoi,0.0011362136626249172,0.04324686899781227,0.06139349722108615,0.046872989566489366
ct_score,economy,0.010028290828064971,0.05044251307845116,0.04321441952380951,0.04197581702159774
bomb_plant_x,tactical,0.45667012406889196,0.049121301621198654,0.09075128842229244,0.03835941443877279
score_diff,economy,0.02035910796182589,0.03760193660855293,0.04073212647166713,0.037792248503233546
min_ct_path_to_bomb,tactical,0.40096015355959747,0.0366138257086277,0.06254979422621422,0.03420295996301352
utility_advantage,tactical,0.0015600739132831253,0.026712236925959587,0.022499715490734644,0.03406111734744036
t_score,economy,0.011570193117991396,0.039583753794431686,0.039541560369106374,0.03273715252628954
min_ct_dist_to_bomb_live,tactical,0.06817396295239728,0.039473921060562134,0.027901346692316115,0.02932858527695432
t_b_site_players,tactical,0.1438366592868766,0.0252721905708313,0.034331394158111664,0.02586966224304374
t_firepower_kast,firepower,0.03050443993929594,0.043220940977334976,0.043020772518963586,0.024228555781675976
round_num,economy,0.0015640811589544147,0.028310241177678108,0.02532619398835315,0.023132373497217102
t_firepower_rating,firepower,0.07235687497344308,0.02596971206367016,0.025957822313446025,0.022776790710689193
t_firepower_adr,firepower,0.7825557041766665,0.016678180545568466,0.022573135241574782,0.02035915315606862
t_awp_alive,tactical,0.10740359220601264,0.010324227623641491,0.008849223746895564,0.018815607714122475
bomb_site,tactical,0.04157828353911752,0.0001351772079942748,0.0,0.01852126829202135
ct_firepower_adr,firepower,1.2980216684816863,0.04299117252230644,0.038909513230645364,0.018280537675237567
bomb_carrier_zone,tactical,0.04380752951399374,0.013967141509056091,0.014033877941484729,0.013896494871608446
min_t_dist_to_bomb_live,tactical,0.0043784269060753896,0.019078148528933525,0.0207263798998174,0.012194216313431554
t_a_site_players,tactical,0.04198229321725003,0.0055586304515600204,0.008352678420972651,0.010407336198473496
ct_defuse_kits,economy,0.09569331594042499,0.007084219250828028,0.011028845270750575,0.01008644147069898
t_mid_players,tactical,0.033456677505641304,0.007879950106143951,0.008229444699088338,0.010000266096239848
ct_voronoi_control_pct,voronoi,0.16827622368401013,0.0020177580881863832,0.0002634551601818252,0.009828998269570744
ct_mid_control,voronoi,0.22995250141613074,0.016449837014079094,0.016145417557421857,0.009639772738236093
control_deficit,voronoi,0.16827622368400977,0.00019489845726639032,0.0030230518169264095,0.009320810970002463
t_fire,tactical,0.0016318298440454048,0.006791043095290661,0.01248153712179153,0.008718932349381613
control_volatility,voronoi,0.027555137120553467,0.007091596256941557,0.006618949907503907,0.008197982242764842
ct_terr_deficit,territory,0.03060316656573707,0.006236212328076363,0.005933991636615233,0.006499318357252691
ct_positional_entropy,tactical,0.029251307564875054,0.004724505823105574,0.006158076091095576,0.006411643147188314
ct_flashes,tactical,0.027467091441904155,0.01032648328691721,0.013740628727120105,0.005961943299342299
ct_util_total,tactical,0.013274152371743828,0.003054809058085084,0.006519008433670881,0.005818122442120933
t_economy_class,economy,0.19011014746352028,0.00878616888076067,0.004179709745010942,0.005244463050577874
bomb_state,tactical,0.19094532847424328,0.0,0.0,0.005136393281183329
t_clutch_score,firepower,0.15401319835095853,0.0010880341287702322,0.00149135422331412,0.00488495174704825
bomb_planted,economy,0.19430713734554386,0.0031194910407066345,0.0009132264771474609,0.004787956500949578
time_elapsed_sec,economy,0.08327437962107143,0.0010433128336444497,0.0028573785332560464,0.003840063153813846
ct_firepower_rating,firepower,0.6847384712551653,0.009021867997944355,0.008787873898381418,0.0034817254333430712
bomb_plant_y,tactical,0.3832252143153124,0.007070224732160568,0.011537440583385763,0.0025887211511287146
ct_smokes,tactical,0.01387573624396989,0.0009427348268218338,0.0008411078801938189,0.0024989920680615375
ct_ct_spawn_control,voronoi,0.08959069604661755,0.00022298359544947743,0.00013647444956031848,0.0024822651017453014
ct_fire,tactical,0.03035760464467071,0.0016500926576554775,0.0062572507946944,0.0022508193009084664
bomb_dropped,tactical,0.03435424152054104,0.00952128041535616,0.006925915236485119,0.0016458935438310746
ct_economy_class,economy,0.09241697570444408,0.0019617381040006876,0.0022648984815969563,0.001361881406403607
t_banana_players,tactical,0.10921728243081989,0.0,0.0004603045037333419,0.0009951567324764194
t_awp_zone,tactical,0.018761545262385097,0.000991396838799119,0.001062158176471828,0.0009119602380411024
t_smokes,tactical,0.023695168211613975,0.0014787418767809868,0.0004256265970508513,0.0007692901993712676
n_ct_near_bomb,tactical,0.007575701678304168,0.0,0.0,0.0002742131974965608
ct_players_alive,economy,0.028580657062977036,0.000053295461839297786,0.0,0.0
t_players_alive,economy,0.1849873428384971,0.0,0.0,0.0
ct_banana_control,voronoi,0.14816148581887698,0.0021643205545842648,0.0019385457680637626,0.0
control_trend,voronoi,0.018221890745850854,0.0002196592977270484,0.0002826983138556222,0.0
t_positional_entropy,tactical,0.008237829741070533,0.0000834738602861762,0.000993181739548935,0.0
ct_a_site_players,tactical,0.003463107576107702,0.0,0.00002236290500950791,0.0
ct_b_site_players,tactical,0.003600711156195404,0.00026807835092768073,0.0010710151572306723,0.0
ct_banana_players,tactical,0.037515522756769136,0.00043551050475798547,0.00007037858213458444,0.0
ct_mid_players,tactical,0.0075804747784376705,0.00007911957072792575,0.0,0.0
ct_ct_spawn_players,tactical,0.012648680666173539,0.0,0.0,0.0
t_ct_spawn_players,tactical,0.0015072632511203038,0.0,0.0,0.0
ct_awp_alive,tactical,0.05971170110126537,0.001637384993955493,0.0050532725640882155,0.0
ct_awp_zone,tactical,0.0039417040542806215,0.00017156887042801827,0.000443480611676355,0.0
ct_he,tactical,0.0018079786087595185,0.00305162719450891,0.00276112502831476,0.0
t_flashes,tactical,0.0381798216900767,0.00041585019789636135,0.000028549073411287412,0.0
t_util_total,tactical,0.01118546335618365,0.001021268661133945,0.0017567984042859248,0.0
ct_terr_control,territory,0.009177384651816464,0.000694894464686513,0.00014797996847942506,0.0
t_terr_control,territory,0.0367971476381584,0.008462022989988327,0.008821547664216781,0.0
terr_contested_pct,territory,0.00800545160836296,0.00021312973694875836,0.0,0.0
terr_grey_pct,territory,0.015206462770325904,0.0014162736479192972,0.0006991172944711142,0.0
ct_clutch_score,firepower,0.030042931269083282,0.0013899217592552304,0.0017490452441319888,0.0
ct_bomb_local_control,tactical,0.02202873418647193,0.008800105191767216,0.014763730154669398,0.0
ct_bomb_local_deficit,tactical,0.022028734186471676,0.0013919878983870149,0.0061969523113888526,0.0
ct_closer_to_bomb,tactical,0.004929899247151773,0.0,0.0,0.0
n_ct_can_defuse,tactical,0.03810284383660551,0.00028284118161536753,0.0005201071193029082,0.0
best_defuser_has_kit,tactical,0.03391030420339646,0.0001962956739589572,0.0003369205955773458,0.0
