model,scope,base_AUC,sp_AUC,dAUC,dAUC_lo,dAUC_hi,base_logloss,sp_logloss,dlogloss,dll_lo,dll_hi,base_brier,sp_brier,base_BSS,sp_BSS,base_cAUC,sp_cAUC,dcAUC,dcAUC_lo,dcAUC_hi
logreg,in_time,0.846079909269182,0.8496080435490396,0.0035398109114340606,0.0017975128719550815,0.005279703576937289,0.4682729329863434,0.4589345365697732,-0.009348316638091625,-0.011287855275540968,-0.0073637793908281415,0.15811167208500215,0.15602754352583362,0.35993340610726987,0.3683703611436091,0.5834842101594827,0.5889718027743902,0.005128185112256205,-0.014568107279483836,0.025274099539897173
logreg,out_time,0.8419172008945863,0.8467078671333229,0.004835749776701328,0.0009087852721522433,0.00868086022730864,0.4817507745653757,0.46750378656539004,-0.014293386741638547,-0.019078236335401413,-0.00897421976006618,0.1624651066878383,0.15867346274635888,0.3497568025112334,0.36493231145903293,0.6520394002770911,0.6447672714243836,-0.008008438224286115,-0.06725720706576833,0.047789067510579215
xgb,in_time,0.8427900846764568,0.8483716436218688,0.005594961341164746,0.0038105753037644048,0.007580332702497347,0.4689114397115307,0.45845665151978915,-0.01047396098620235,-0.012352421471608576,-0.008600405761156258,0.15877174634906274,0.15609928890730246,0.3572612979678633,0.3680799219790697,0.5792940862010043,0.5860651407539587,0.006571632417292511,-0.013296306124729424,0.02565159012247239
xgb,out_time,0.8439282820397975,0.84725693337686,0.0033479296441909197,0.001073900231534225,0.00577071004155226,0.480366587638855,0.4693039357662201,-0.011006606221199035,-0.016157355159521103,-0.006865823268890382,0.16116297245025635,0.1590736359357834,0.35496840731343726,0.36333067588604406,0.6534656662194929,0.6314162556632122,-0.020899563471795137,-0.04560627828789883,0.0034399696814786614
lgbm,in_time,0.8423235453289459,0.84845337271233,0.006113676074152462,0.004485822683383539,0.007781291407251216,0.4687955478915777,0.4585239513338892,-0.010278465345545282,-0.012093077138184383,-0.008465708689588137,0.15870717843422075,0.1560543154576431,0.35752268136089616,0.36826198319162584,0.5704329047506591,0.58516857012278,0.014644402059285138,-0.004357099420590462,0.033229118766361115
lgbm,out_time,0.8437670641325967,0.8470691927898926,0.003261096336717273,0.0009966233480309728,0.005309282316973881,0.4774823490344091,0.4682109147196266,-0.009225086941050202,-0.012640841618461143,-0.006173678729773987,0.16104792240650295,0.15914159143579362,0.3554288785484402,0.36305869378161293,0.6402979165893392,0.6178237414431619,-0.02207036357850019,-0.04539957679906284,-0.0007697235800052599
catboost,in_time,0.8428377069914813,0.8479508720784691,0.005129756661118271,0.0034996657712283662,0.006730874772002803,0.4673900440331052,0.4586380429015887,-0.00875318604711073,-0.010391774288531786,-0.007125150905079295,0.1585400344017809,0.15603176707586303,0.3581993126944497,0.36835326339715047,0.5781390491521927,0.5856844281660039,0.007588245655097074,-0.01140190614871632,0.025598310624717777
catboost,out_time,0.8433873649302333,0.84583456492907,0.0023627148413365305,0.00005846640900326892,0.004570321320979114,0.4778477579157238,0.4694608164713256,-0.008277535014082548,-0.012119862869896265,-0.004694360635319802,0.1616470194513071,0.1597711397191774,0.35303107888572227,0.3605390174209062,0.6349104320516792,0.6160758247401987,-0.018411476256109862,-0.04378831380448556,0.005221046390463086
